"node","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
65,0.542292117504109,1.10127101119372e-50,0.0068555399982461,0.532707975696503,-1.68021457007854,0.000811846657123358,0.543016354866805,0.266393427051521,0.302663232700526,0.541826770484753,0.207417296362361,0.636515773274302,0.0542177332333734,0.902517476316084,-0.342567438348044,0.467173720163374
66,0.528305875227775,4.99740536619456e-56,0.0204996551799549,0.214382386418117,-1.64025261331998,0.021640771824257,-0.267746382989669,0.704503421900635,-0.359728644186751,0.616651163386672,0.166311482163075,0.799827242108335,0.870737011247969,0.189413535378352,0.357483820896586,0.597026035661849
67,0.533100595582977,1.40721766777596e-56,0.0168226789564048,0.348784763895828,-1.31452232875936,0.0814277220156873,1.09902857711238,0.146464677835484,-0.0758558982297356,0.926405338101685,-0.165097210241213,0.823054288641178,-0.565408301356781,0.45569233787364,0.0711419953073731,0.930101399227983
68,0.547621880890721,1.13591104779748e-55,0.00111915605540721,0.939328227059707,-1.50618296949109,0.0143192064866449,0.000947510230444463,0.998740187480561,-0.00328945782899823,0.99574070861236,0.0246872195660998,0.966036509983632,0.628955325993479,0.274619043180445,-0.00437071763697231,0.994045144263205
69,0.540422614483303,4.47994282949025e-52,0.00913998014534176,0.4643463806004,-1.86054355465792,0.000672429871865033,0.554665654899895,0.295356426347705,0.297633765550889,0.588211925059776,0.427912185239553,0.399726496154745,0.0251336925859792,0.96075348826398,-0.312229069858669,0.54692158478488
70,0.540701709935511,5.847510287298e-53,0.00927720606244638,0.482827005895296,-1.78325896466439,0.00122395961678701,1.11176866726126,0.0358290057085044,0.801250230136575,0.143154258413457,0.378021706073423,0.464755838182734,-0.582145070532846,0.237297815519269,-0.816537680058745,0.0895049298909464
71,0.543024204800786,1.21716597112052e-55,0.00585702327620671,0.692430557158465,-1.94645040244192,0.00181864982937705,0.562261601424146,0.363971039104035,0.815346561345846,0.205850819244115,0.501193489897633,0.397567497268723,0.0315049578989518,0.958092730009571,-0.858051949223554,0.167902306759042
72,0.538769365737176,2.63104279646911e-56,0.0107325752798619,0.508182146938889,-1.74412047427833,0.0127896181895634,0.232841546192683,0.736302742957373,0.267781846561208,0.711833623658154,0.293891266623804,0.664946866145448,0.369520374158317,0.586281054640551,-0.284158938245457,0.687391729975279
73,0.54293866173132,1.10412030590407e-53,0.00628370463124543,0.643647612350072,-1.82260612930373,0.00182564127573701,0.238165535698625,0.678077497763167,0.207811178404509,0.719077446037011,0.378295096750536,0.49632832472388,0.385021358792103,0.488042804511387,-0.230142075570204,0.669982482014893
74,0.544793914096524,4.13688513814195e-58,0.00398474194483624,0.824220106944842,-0.924936900270616,0.226138409001567,1.0459498673479,0.174068068613558,0.796655891116508,0.344770177581615,-0.556624959205037,0.442278262662723,-0.461004556848203,0.528696166279132,-0.786571072217988,0.320276055314443
